MGI:MGI:109571	Tulp1
MGI:MGI:109564	Kif5a
MGI:MGI:109563	Cxcr4
MGI:MGI:109524	Trpc5
MGI:MGI:109520	Pafah1b1
MGI:MGI:1858308	Tnk2
MGI:MGI:1861899	Htr3b
MGI:MGI:1930171	Nectin3
MGI:MGI:1309503	Kcnq2
MGI:MGI:2442401	Ppp1r9a
MGI:MGI:1203727	Sema6a
MGI:MGI:1346078	Twf2
MGI:MGI:1346074	Fxr2
MGI:MGI:1858223	Cntn6
MGI:MGI:1346042	Mgll
MGI:MGI:1858202	Rab11a
MGI:MGI:1858201	Cntnap1
MGI:MGI:1346037	Insrr
MGI:MGI:1309464	Mapk8ip1
MGI:MGI:1888986	Dlg3
MGI:MGI:1888939	Septin6
MGI:MGI:1913975	Lrrk2
MGI:MGI:2449057	Gars
MGI:MGI:1930008	Ghrl
MGI:MGI:1312921	Casp6
MGI:MGI:2677850	Abitram
MGI:MGI:1927184	Nrgn
MGI:MGI:1096337	Ephb1
MGI:MGI:1927140	Git1
MGI:MGI:1927126	Slc5a7
MGI:MGI:1351340	Grm3
MGI:MGI:2442949	Zfp804a
MGI:MGI:109284	Psen2
MGI:MGI:102548	Tsc2
MGI:MGI:102519	Cst3
MGI:MGI:109239	Kcnab2
MGI:MGI:1346542	Bace1
MGI:MGI:1920670	Ccsap
MGI:MGI:1346881	Map3k12
MGI:MGI:1346869	Map2k4
MGI:MGI:1346866	Map2k1
MGI:MGI:1346861	Mapk8
MGI:MGI:1346858	Mapk1
MGI:MGI:1195461	Septin5
MGI:MGI:1336200	Hpca
MGI:MGI:102765	Ptprn
MGI:MGI:5009947	Gm17783
MGI:MGI:2145118	Eif2b2
MGI:MGI:2660854	Adcy10
MGI:MGI:2442208	Map9
MGI:MGI:2673000	Trim46
MGI:MGI:2442192	Eea1
MGI:MGI:1339975	Pak1
MGI:MGI:2670976	Fez1
MGI:MGI:1339957	P2rx7
MGI:MGI:1861229	Adam21
MGI:MGI:1933945	Syt13
MGI:MGI:3646208	Btbd8
MGI:MGI:1277186	Atg5
MGI:MGI:1277171	Dcx
MGI:MGI:1277151	Snca
MGI:MGI:1913396	Maco1
MGI:MGI:1914110	Tanc1
MGI:MGI:1298397	Sncg
MGI:MGI:1924366	Mtmr2
MGI:MGI:106484	Rufy3
MGI:MGI:1914099	Ppp1r2
MGI:MGI:1889007	Ttyh1
MGI:MGI:1914047	Cntnap2
MGI:MGI:98726	Tgfb2
MGI:MGI:1298209	Hcn4
MGI:MGI:1276123	Ucn
MGI:MGI:1276112	Cldn5
MGI:MGI:1328351	Nts
MGI:MGI:1328328	Map7
MGI:MGI:104785	Myo6
MGI:MGI:104781	Kcnj6
MGI:MGI:104753	Nfasc
MGI:MGI:104750	Nrcam
MGI:MGI:104727	Cplx1
MGI:MGI:104726	Cplx2
MGI:MGI:1197522	Irx3
MGI:MGI:1929258	Kcnip3
MGI:MGI:1335094	Septin7
MGI:MGI:1345280	Slc30a3
MGI:MGI:1919847	Auts2
MGI:MGI:1202864	Myoc
MGI:MGI:1919824	Zc3h14
MGI:MGI:1345181	Pacsin1
MGI:MGI:1345149	Scn11a
MGI:MGI:2684085	Mrgpra3
MGI:MGI:1355335	Tmod2
MGI:MGI:1919735	Ccdc141
MGI:MGI:1202717	Psen1
MGI:MGI:1929996	Trpm7
MGI:MGI:1355296	Prkn
MGI:MGI:1919602	Zfyve27
MGI:MGI:108077	Nptn
MGI:MGI:1919412	Dhx36
MGI:MGI:1860489	Ptbp2
MGI:MGI:1860476	Nmu
MGI:MGI:1860437	Olfm1
MGI:MGI:1919369	Tpx2
MGI:MGI:1338859	P2rx4
MGI:MGI:1338801	Cyfip1
MGI:MGI:1098749	Erc2
MGI:MGI:2154090	Igsf8
MGI:MGI:104963	Npy1r
MGI:MGI:1098260	Kif1c
MGI:MGI:1341836	Trpv2
MGI:MGI:1341818	Cnga3
MGI:MGI:2686240	Ssh1
MGI:MGI:2444888	Ncmap
MGI:MGI:2679005	Slc38a7
MGI:MGI:1890574	Sptbn4
MGI:MGI:96925	Mbp
MGI:MGI:96912	Mag
MGI:MGI:96907	Marcks
MGI:MGI:1341721	Kcnh1
MGI:MGI:2444782	Fkbp15
MGI:MGI:104327	Nog
MGI:MGI:2444710	Prtg
MGI:MGI:1932411	Tmem108
MGI:MGI:2137300	Hapln2
MGI:MGI:2444552	Actbl2
MGI:MGI:2652882	Unc80
MGI:MGI:96670	Kcnc4
MGI:MGI:96669	Kcnc3
MGI:MGI:96668	Kcnc2
MGI:MGI:96667	Kcnc1
MGI:MGI:96663	Kcna6
MGI:MGI:96661	Kcna4
MGI:MGI:96660	Kcna3
MGI:MGI:2652860	Plekhg5
MGI:MGI:96659	Kcna2
MGI:MGI:96603	Itga4
MGI:MGI:96602	Itga3
MGI:MGI:96600	Itga2
MGI:MGI:2669796	Rtn4rl2
MGI:MGI:3036247	Lmtk2
MGI:MGI:96575	Insr
MGI:MGI:1890149	Tpm3
MGI:MGI:96545	Il1r1
MGI:MGI:1890110	Robo2
MGI:MGI:97175	Map2
MGI:MGI:97178	Map4
MGI:MGI:1915919	Taok2
MGI:MGI:96433	Igf1r
MGI:MGI:1341299	Dnm3
MGI:MGI:1341292	Ush2a
MGI:MGI:1341265	Camk2d
MGI:MGI:1341264	Tpbg
MGI:MGI:97281	Ncam1
MGI:MGI:1314884	Tnfrsf1a
MGI:MGI:1314883	Tnfrsf1b
MGI:MGI:104631	Utrn
MGI:MGI:104629	Penk
MGI:MGI:104627	Dst
MGI:MGI:104615	Cnr1
MGI:MGI:2137642	Snx18
MGI:MGI:1929183	Tsc1
