MGI:MGI:96783	Lhcgr
MGI:MGI:96765	Ldlr
MGI:MGI:96757	Lcn2
MGI:MGI:96743	Lamb1
MGI:MGI:1338758	Adnp
MGI:MGI:101765	Cdk5
MGI:MGI:101759	Syt4
MGI:MGI:108482	Hrh2
MGI:MGI:108471	Ntan1
MGI:MGI:2441741	Rapgef3
MGI:MGI:1858496	Deaf1
MGI:MGI:1858493	B4galt2
MGI:MGI:2651499	Pde5a
MGI:MGI:95758	Slc2a4
MGI:MGI:95777	Gnas
MGI:MGI:1340894	Adam2
MGI:MGI:1859709	Rgs14
MGI:MGI:95295	Egr1
MGI:MGI:1340062	Sgk1
MGI:MGI:2443767	Aaas
MGI:MGI:95836	Grpr
MGI:MGI:95821	Grin2b
MGI:MGI:95820	Grin2a
MGI:MGI:1859547	Syt11
MGI:MGI:95627	Slc6a1
MGI:MGI:95621	Gabrb3
MGI:MGI:95617	Gabra5
MGI:MGI:1330838	Lgmn
MGI:MGI:1921569	Mettl23
MGI:MGI:109583	Pten
MGI:MGI:3651981	Mup20
MGI:MGI:2685385	Kalrn
MGI:MGI:2443999	Pde8b
MGI:MGI:1914935	Dnaaf4
MGI:MGI:1859152	Pla2g6
MGI:MGI:98248	Scn2a
MGI:MGI:1347355	Slc7a11
MGI:MGI:95762	Gm2a
MGI:MGI:894311	Pirb
MGI:MGI:2685946	Brsk1
MGI:MGI:894278	Bche
MGI:MGI:1921903	Pomk
MGI:MGI:1099446	Synpo
MGI:MGI:2148922	Ehmt2
MGI:MGI:87963	Agt
MGI:MGI:87938	Adrb2
MGI:MGI:87937	Adrb1
MGI:MGI:1891700	Ncstn
MGI:MGI:87891	Chrnb2
MGI:MGI:87888	Chrna4
MGI:MGI:87860	Abl2
MGI:MGI:1933134	Tusc3
MGI:MGI:1352629	Abcc8
MGI:MGI:97595	Prkca
MGI:MGI:97523	Pde1b
MGI:MGI:892866	Dgcr2
MGI:MGI:97490	Pax6
MGI:MGI:97440	Oprl1
MGI:MGI:97439	Oprk1
MGI:MGI:3030381	Olfr547
MGI:MGI:1891497	Jph3
MGI:MGI:97848	Rag1
MGI:MGI:2141866	Ric8a
MGI:MGI:97804	Ptn
MGI:MGI:1313268	Chrd
MGI:MGI:97798	Ptgs2
MGI:MGI:97797	Ptgs1
MGI:MGI:97769	Prnp
MGI:MGI:97760	Prkar2b
MGI:MGI:97759	Prkar1b
MGI:MGI:1923036	Ckap5
MGI:MGI:1926555	Mapk8ip2
MGI:MGI:3614654	Fbxw7as1
MGI:MGI:104518	Cntn2
MGI:MGI:1315201	Grcc10
MGI:MGI:1916192	Chmp2b
MGI:MGI:108564	Meis2
MGI:MGI:2445154	Lrrn4
MGI:MGI:1916625	Btbd9
MGI:MGI:97180	Mapt
MGI:MGI:1100513	Lmx1b
MGI:MGI:97004	Mme
MGI:MGI:2663476	Peg13
MGI:MGI:108384	Btg2
MGI:MGI:2441906	Ghsr
MGI:MGI:2441837	Adgrb3
MGI:MGI:1330848	Atp8a1
MGI:MGI:1100864	Dnah11
MGI:MGI:1352495	Zfp385a
