MGI:MGI:2444989	Spg11
MGI:MGI:104562	Napb
MGI:MGI:1354961	Synj1
MGI:MGI:1922391	Rasd2
MGI:MGI:2444630	Dmxl2
MGI:MGI:2444609	Nlgn3
MGI:MGI:2139434	Mylk2
MGI:MGI:104913	Abi1
MGI:MGI:1860297	Apba1
MGI:MGI:1926373	Syt9
MGI:MGI:1926368	Syt5
MGI:MGI:101765	Cdk5
MGI:MGI:101764	Cdk5r1
MGI:MGI:101759	Syt4
MGI:MGI:108482	Hrh2
MGI:MGI:3044626	Begain
MGI:MGI:1277959	Dlg4
MGI:MGI:5439454	Gm21985
MGI:MGI:1929895	Clstn1
MGI:MGI:1860604	Gucy1b1
MGI:MGI:2429635	Hrh4
MGI:MGI:2443887	Ric3
MGI:MGI:1914724	Snap29
MGI:MGI:1340044	Lrp8
MGI:MGI:109441	Ly6f
MGI:MGI:1921268	Als2
MGI:MGI:1097160	P2rx3
MGI:MGI:1097153	Cx3cl1
MGI:MGI:1350922	Cadps
MGI:MGI:1337113	P2rx6
MGI:MGI:95823	Grin2d
MGI:MGI:95822	Grin2c
MGI:MGI:95821	Grin2b
MGI:MGI:95820	Grin2a
MGI:MGI:95815	Grik2
MGI:MGI:95814	Grik1
MGI:MGI:95813	Grid2
MGI:MGI:95812	Grid1
MGI:MGI:95811	Gria4
MGI:MGI:95810	Gria3
MGI:MGI:95809	Gria2
MGI:MGI:1859546	Syt10
MGI:MGI:1859545	Syt7
MGI:MGI:1859544	Syt6
MGI:MGI:95626	Gabrr2
MGI:MGI:95625	Gabrr1
MGI:MGI:95624	Gabrg3
MGI:MGI:95623	Gabrg2
MGI:MGI:95622	Gabrd
MGI:MGI:95621	Gabrb3
MGI:MGI:95619	Gabrb1
MGI:MGI:95618	Gabra6
MGI:MGI:95617	Gabra5
MGI:MGI:95616	Gabra4
MGI:MGI:95615	Gabra3
MGI:MGI:95614	Gabra2
MGI:MGI:95613	Gabra1
MGI:MGI:103077	Stx3
MGI:MGI:103038	Stat3
MGI:MGI:95564	Fmr1
MGI:MGI:2136752	Pcdhb16
MGI:MGI:1330858	Lin7b
MGI:MGI:1330839	Lin7c
MGI:MGI:1921537	Kcmf1
MGI:MGI:2685803	Cplx4
MGI:MGI:109583	Pten
MGI:MGI:3782645	Olfr1564
MGI:MGI:1859867	Syt8
MGI:MGI:103561	Kpna2
MGI:MGI:103560	Kpna1
MGI:MGI:103555	Clcn3
MGI:MGI:1261791	Apba2
MGI:MGI:1859162	Rnf10
MGI:MGI:2685061	Dytn
MGI:MGI:103290	Rela
MGI:MGI:95772	Gnai2
MGI:MGI:1337026	Sdcbp
MGI:MGI:95760	Slc6a9
MGI:MGI:95752	Gls
MGI:MGI:95751	Glrb
MGI:MGI:95750	Glra4
MGI:MGI:95749	Glra3
MGI:MGI:95747	Glra1
MGI:MGI:2685946	Brsk1
MGI:MGI:3606571	Stac3
MGI:MGI:1921982	Stx11
MGI:MGI:109149	Nsg1
MGI:MGI:2148931	Ly6g6d
MGI:MGI:99841	Htr7
MGI:MGI:87961	Agrn
MGI:MGI:87938	Adrb2
MGI:MGI:87937	Adrb1
MGI:MGI:2445001	Rab3gap1
MGI:MGI:1923492	Rph3al
MGI:MGI:1891708	Npff
MGI:MGI:1923433	Celf6
MGI:MGI:87895	Chrng
MGI:MGI:87893	Chrnd
MGI:MGI:87892	Chrnb4
MGI:MGI:87891	Chrnb2
MGI:MGI:87890	Chrnb1
MGI:MGI:87889	Chrna5
MGI:MGI:87888	Chrna4
MGI:MGI:87887	Chrna3
MGI:MGI:87886	Chrna2
MGI:MGI:87885	Chrna1
MGI:MGI:87876	Ache
MGI:MGI:97599	Prkce
MGI:MGI:97597	Prkcg
MGI:MGI:97535	Pdyn
MGI:MGI:97441	Oprm1
MGI:MGI:97438	Oprd1
MGI:MGI:1342283	Slc12a7
MGI:MGI:1342278	Unc13b
MGI:MGI:97852	Rap1a
MGI:MGI:97845	Rac1
MGI:MGI:97843	Rab3a
MGI:MGI:97821	Pvalb
MGI:MGI:97812	Ptprd
MGI:MGI:1349390	Pclo
MGI:MGI:1313261	Sptbn2
MGI:MGI:1313276	Vamp1
MGI:MGI:95748	Glra2
MGI:MGI:1923036	Ckap5
MGI:MGI:2178323	Clstn3
MGI:MGI:1926562	Gucy1a1
MGI:MGI:1926555	Mapk8ip2
MGI:MGI:104563	Napa
MGI:MGI:2151013	Erc1
MGI:MGI:1916267	Prrt2
MGI:MGI:101864	Dag1
MGI:MGI:1916712	Slurp2
MGI:MGI:3030073	Or10h1
MGI:MGI:1100497	Doc2b
MGI:MGI:2663476	Peg13
MGI:MGI:108426	Kif1b
MGI:MGI:108408	Rgs8
MGI:MGI:1926252	Gipc1
MGI:MGI:1926250	Doc2g
MGI:MGI:1926129	Arid1b
MGI:MGI:2386030	Gabbr2
MGI:MGI:3030313	Or10ab4
MGI:MGI:3030308	Olfr474
MGI:MGI:3030307	Olfr473
MGI:MGI:3030306	Olfr472
MGI:MGI:96282	Htr3a
MGI:MGI:1889011	Sncb
MGI:MGI:97360	Nos1
MGI:MGI:97306	Nf1
MGI:MGI:2687319	Il1rapl1
MGI:MGI:2677061	Dagla
MGI:MGI:3030928	Olfr1094
MGI:MGI:3030927	Or5t5
MGI:MGI:1352750	Cabp1
MGI:MGI:1352747	Cspg5
MGI:MGI:1933206	Grin3a
MGI:MGI:1891247	Otof
MGI:MGI:97629	Pmch
MGI:MGI:97620	Plg
MGI:MGI:97613	Plcb1
MGI:MGI:97610	Plat
MGI:MGI:3030583	Or11h4
MGI:MGI:3030582	Or11h23
MGI:MGI:3030581	Or11h4b
MGI:MGI:3030580	Or11h7
MGI:MGI:105090	Slc6a5
MGI:MGI:1933172	Chrdl1
MGI:MGI:2441771	Fchsd1
MGI:MGI:2448475	Fchsd2
MGI:MGI:108082	Npy5r
MGI:MGI:108059	Stx2
MGI:MGI:2135637	Park7
MGI:MGI:97374	Npy
MGI:MGI:97380	Ntf3
MGI:MGI:97384	Ntrk2
MGI:MGI:1351338	Grm1
MGI:MGI:1351330	Cartpt
MGI:MGI:1351341	Grm4
MGI:MGI:1351342	Grm5
MGI:MGI:1351344	Grm7
MGI:MGI:96284	Htr5b
MGI:MGI:96283	Htr5a
MGI:MGI:96281	Htr2c
MGI:MGI:96276	Htr1d
MGI:MGI:96274	Htr1b
MGI:MGI:96273	Htr1a
MGI:MGI:1351345	Grm8
MGI:MGI:3588203	Gabrr3
MGI:MGI:107231	Dlg1
MGI:MGI:99779	Chrna7
MGI:MGI:2443430	Dgki
MGI:MGI:107164	Ppp3ca
MGI:MGI:1334209	Gjd2
MGI:MGI:99667	Syt1
MGI:MGI:99666	Syt2
MGI:MGI:2385015	Ly6g2
MGI:MGI:99611	Ephb2
MGI:MGI:107571	Cav2
MGI:MGI:107527	Ly6a
MGI:MGI:1915115	Rgs10
MGI:MGI:3039629	Slc17a8
MGI:MGI:1915076	Snap47
MGI:MGI:107434	Cdh8
MGI:MGI:107418	Ptprn2
MGI:MGI:87894	Chrne
MGI:MGI:2443235	Rimbp2
MGI:MGI:99923	Kcnma1
MGI:MGI:99918	Mecp2
MGI:MGI:894663	Ext1
MGI:MGI:894644	Cacnb2
