ncl	hnrnpa2b1	hsp90ab1	serbp1	ccnd2	nasp	mt-nd5	pabpc1	marcks	dek	
mbp	plp1	sirt2	cldn11	actb	cnp	mt-nd1	reep5	dynll2	mt-cytb	
actb	mt-nd1	rtn1	ncam1	stmn3	snhg11	pcsk1n	mt-nd4	ly6h	mt-cytb	
hnrnpa2b1	ncl	sox11	marcks	smc4	dek	ccnd2	h2afv	hnrnpab	calm1	
mt-nd1	nnat	tuba1a	tmsb4x	rtn1	tubb2b	mt-nd4	tubb3	sepw1	mt-cytb	
mt-nd1	mt-cytb	snhg11	mt-nd4	cxcl14	atp1b1	pcsk1n	ly6h	sepw1	mef2c	
hnrnpab	sox4	slc25a4	abracl	hmgn1	rps19	ranbp1	rpl22	fkbp3	akap9	
mt-nd1	mt-cytb	snhg11	mt-nd4	sepw1	arpp21	cxcl14	ly6h	pcp4	atp2b1	
nnat	tuba1a	tubb5	sox11	sox4	tubb2b	tubb3	hsp90ab1	map1b	h3f3b	
mt-nd1	vip	tuba1a	nnat	rtn1	cck	cxcl14	tubb2b	tubb3	stmn2	
hnrnpa2b1	hsp90ab1	ccnd2	sox11	marcks	ncl	serbp1	hnrnpab	nasp	sox4	
hsp90ab1	serbp1	hnrnpa2b1	ptms	rbm25	marcks	ptma	pnisr	fnbp1l	gap43	
mt-nd1	snhg11	mt-cytb	mt-nd4	arpp21	pcp4	atp2b1	sepw1	calm1	dbi	
fabp7	vip	mt-nd1	rbm25	pnn	arl6ip1	atrx	cxcl14	hnrnpa2b1	ptn	
fabp7	ccnd2	ptn	dbi	mt-cytb	ncl	mt-nd1	vim	mt-nd5	marcks	
mt-nd1	fabp7	snhg11	dbi	cxcl14	mt-cytb	ptn	mt-nd4	atp1b1	atp2b1	
nnat	tmsb10	sepw1	tuba1a	ptms	sox11	mllt11	stmn2	map1b	basp1	
hsp90ab1	hnrnpa2b1	ncl	ccnd2	nasp	serbp1	smc4	dek	marcks	h2afv	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	tmsb4x	sox11	rtn1	h3f3b	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	atp1b1	pcsk1n	stmn3	syt1	npy	
gadd45g	ccnd2	dek	nasp	nefm	acin1	rbm25	hsp90ab1	marcks	ascl1	
mt-nd1	mt-cytb	cxcl14	snhg11	mt-nd4	rtn1	sepw1	vip	ly6h	npy	
tuba1a	nnat	tubb2b	tubb5	tubb3	tmsb4x	sox4	rtn1	tmsb10	map1b	
ccnd2	dek	nasp	hsp90ab1	ncl	hnrnpa2b1	h2afv	serbp1	ranbp1	smc4	
tubb5	calm1	bcl11b	nnat	tubb3	arpp21	dek	rrm2	ranbp1	nasp	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	stmn3	stmn2	ly6h	sepw1	
mt-nd1	rtn1	mt-cytb	sst	tmsb4x	mt-nd4	stmn3	ly6h	npy	stmn2	
tmsb4x	tubb5	actb	tuba1a	rps5	tubb2b	tubb3	rps14	arpp21	h3f3b	
nnat	actb	sox11	crabp1	hnrnpa2b1	hbb-y	calm1	hsp90ab1	acin1	fnbp1l	
ccnd2	hnrnpa2b1	ybx1	hmgn5	acin1	hsp90ab1	sox11	fkbp3	cenpf	marcks	
nnat	mt-nd1	rtn1	tmsb4x	mt-cytb	mt-nd4	stmn3	crabp1	h3f3b	npy	
hbb-y	hsp90ab1	serbp1	hnrnpa2b1	rps24	gnb2l1	smarcc1	meis2	mt-nd2	eif4g2	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	arpp21	atp2b1	sepw1	ly6h	actb	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	sox11	tmsb4x	h3f3b	map1b	
mt-nd1	snhg11	sepw1	mt-nd4	npy	atp1b1	mt-cytb	nrgn	rtn1	ndufa4	
mt-nd1	cxcl14	snhg11	sepw1	rtn1	npy	mt-nd4	sst	tmsb4x	tmsb10	
hnrnpa2b1	ccnd2	hsp90ab1	ncl	marcks	smc4	nasp	serbp1	hnrnpab	dek	
mt-nd1	cxcl14	sepw1	snhg11	rtn1	stmn2	cnr1	tmsb10	pcsk1n	ly6h	
mt-nd1	cxcl14	snhg11	rtn1	vip	npy	sst	stmn3	mt-nd4	mt-cytb	
tmsb10	tmsb4x	rtn1	nnat	tuba1a	stmn2	tubb2b	fos	mef2c	mt-cytb	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	ly6h	stmn3	atp1b1	pcsk1n	
tmsb4x	tuba1a	tubb2b	rtn1	nnat	tmsb10	mt-nd1	tubb3	sepw1	tubb5	
mt-nd1	tmsb10	sepw1	mt-cytb	tmsb4x	cxcl14	snhg11	mt-nd4	mllt11	mef2c	
nnat	sox11	tuba1a	tubb5	calm1	hnrnpa2b1	actb	rbm18	h3f3b	ndn	
fabp7	ptn	dbi	ptprz1	pabpc1	ncl	mt3	dek	rps19	ybx1	
cenpf	nasp	tra2a	hnrnpa2b1	hsp90ab1	mt-nd5	hnrnpab	hnrnpdl	gpatch8	rrm2	
tmsb4x	tuba1a	nnat	tubb2b	rtn1	tmsb10	tubb3	sepw1	tubb5	marcksl1	
hsp90ab1	nasp	serbp1	dek	ncl	hnrnpa2b1	ccnd2	fkbp3	ranbp1	dbi	
hsp90ab1	ncl	hnrnpa2b1	ccnd2	serbp1	marcks	nasp	dek	anp32a	rbm25	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	atp1b1	atp2b1	ly6h	pcsk1n	cxcl14	
mt-nd1	mbp	actb	plp1	mt-nd4	mt-cytb	atp2b1	snhg11	arpp21	pcp4	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	tmsb4x	h3f3b	sox11	tmsb10	
mt-nd1	tmsb4x	actb	fabp7	snhg11	dbi	ptn	arpp21	fth1	mt-nd4	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	sepw1	atp1b1	npy	ly6h	pcsk1n	
dbi	ncl	serbp1	mt-nd5	rbm25	apoe	pabpc1	fnbp1l	acin1	cpe	
mt-nd1	rtn1	tuba1a	tmsb4x	tubb2b	nnat	sepw1	mt-nd4	tmsb10	snhg11	
mt-nd1	mt-cytb	mt-nd4	snhg11	npy	pcsk1n	rtn1	atp1b1	ly6h	tmsb4x	
mt-nd1	ncl	snhg11	mt-cytb	mt-nd5	ccnd2	cxcl14	mt-nd2	marcks	smc4	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	arpp21	pcp4	atp2b1	sepw1	ly6h	
actb	calm1	arpp21	mt-nd1	ptn	atp2b1	mt-cytb	mt-nd4	ccnd2	tmsb4x	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	actb	pcp4	atp2b1	rtn1	sepw1	
tuba1a	tubb5	nnat	tubb2b	tmsb4x	tubb3	sox4	h3f3b	marcksl1	sox11	
fabp7	dbi	ptn	hsp90ab1	ncl	serbp1	vim	dek	nasp	hnrnpa2b1	
mt-nd1	mt-cytb	mt-nd4	arpp21	snhg11	pcp4	atp2b1	rtn1	ppp3ca	pcsk1n	
hnrnpa2b1	hsp90ab1	sox11	ncl	marcks	serbp1	mt-nd5	ccnd2	acin1	hnrnpab	
fabp7	ccnd2	dbi	hsp90ab1	ncl	ptn	nasp	dek	serbp1	marcks	
nnat	tuba1a	ndn	tubb2b	gap43	map1b	tubb3	stmn2	ptms	sox11	
hsp90ab1	hnrnpa2b1	ccnd2	ncl	serbp1	nasp	marcks	dek	hnrnpab	anp32a	
tuba1a	tubb5	nnat	tmsb4x	tubb3	tubb2b	sox4	sox11	tmsb10	h3f3b	
hsp90ab1	hnrnpa2b1	ccnd2	ncl	marcks	serbp1	nasp	hnrnpab	smc4	anp32a	
hsp90ab1	hnrnpa2b1	ncl	serbp1	nasp	marcks	pabpc1	dek	ccnd2	anp32a	
mt-nd1	mt-cytb	snhg11	mt-nd4	ncl	mt-nd5	hsp90ab1	nasp	arpp21	atp2b1	
nnat	meis2	foxp1	mt-cytb	mt-nd2	mt-nd1	bcl11b	actb	ptms	arpp21	
mt-nd1	mt-cytb	snhg11	mt-nd4	arpp21	atp2b1	pcp4	ly6h	cxcl14	pcsk1n	
mt-nd1	actb	mt-cytb	snhg11	mt-nd4	ncam1	arpp21	pcp4	sepw1	atp2b1	
fth1	hsp90ab1	ncl	hnrnpa2b1	serbp1	marcks	hnrnpab	dek	sparc	anp32a	
mt-nd1	mt-cytb	snhg11	mt-nd4	rtn1	sepw1	atp2b1	atp1b1	ly6h	arpp21	
mt-nd1	mt-cytb	cxcl14	sepw1	snhg11	mt-nd4	rtn1	stmn2	tmsb4x	tmsb10	
mt-nd1	snhg11	sepw1	mt-cytb	cxcl14	mt-nd4	pcsk1n	npy	ly6h	atp1b1	
mt-nd1	mt-cytb	snhg11	mt-nd4	ccnd2	atp1b1	mt-nd2	atp2b1	ly6h	ncam1	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	rtn1	atp2b1	pcp4	sepw1	ly6h	
mt-nd1	mt-cytb	snhg11	mt-nd4	sepw1	arpp21	pcp4	atp2b1	calm1	ly6h	
hsp90ab1	ncl	serbp1	hnrnpa2b1	nasp	fabp7	dek	marcks	dbi	pabpc1	
