serbp1	nasp	shfm1	csnk1a1	hnrnpa2b1	usp1	dbi	ola1	snrpd3	ccnd2	
hsp90ab1	hnrnpa2b1	smek1	ncl	ccnd2	serbp1	nasp	marcks	dek	smc4	
mt-nd1	mt-cytb	rtn1	mt-nd4	bscl2	snhg11	stmn2	npy	stmn3	ly6h	
mt-nd1	snhg11	mt-nd4	mt-cytb	arpp21	atp2b1	calm1	ppp3ca	apoe	rtn1	
gtpbp1	ccnd2	hnrnpa2b1	dek	serbp1	nasp	h2afv	smc4	hsp90ab1	marcks	
mt-nd1	tmsb4x	cox8a	sepw1	snhg11	mt-nd4	mt-cytb	rtn1	tmsb10	cxcl14	
hsp90ab1	hnrnpa2b1	tsr1	ncl	serbp1	nasp	marcks	anp32a	pabpc1	dek	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	ly6h	pcsk1n	npy	atp2b1	
mt-nd1	actb	snhg11	ncam1	rtn1	ly6h	plp1	atp1b1	mt-cytb	syt1	
a830080d01rik	hsp90ab1	hnrnpa2b1	ccnd2	serbp1	ncl	nasp	dek	marcks	hnrnpab	
lats1	hnrnpa2b1	hsp90ab1	ncl	marcks	serbp1	ccnd2	smc4	acin1	pabpc1	
mt-nd1	sepw1	cxcl14	snhg11	fth1	mllt11	mt-nd4	npy	tmsb10	pcsk1n	
klf6	fabp7	hsp90ab1	hnrnpa2b1	ncl	nnat	marcks	serbp1	smc4	arl6ip1	
mt-nd1	bsg	actb	mt-cytb	fth1	mt-nd2	atp2b1	mt-nd4	sparc	pcp4	
smad5	hsp90ab1	hnrnpa2b1	ncl	ccnd2	serbp1	nasp	marcks	smc4	dek	
tmsb4x	actb	apoe	fth1	ctsd	mt-nd1	hexb	ctsb	c1qb	c1qa	
fabp7	ptn	plp1	dbi	mt-nd1	mbp	sirt2	afap1l2	cd9	rgs5	
fabp7	mbp	actb	dbi	marcks	hsp90ab1	ptn	tns1	rgs5	ncl	
tmsb10	tmsb4x	mt-nd1	rtn1	nnat	sepw1	stmn2	mllt11	mt-cytb	mt-nd4	
mt-nd1	cxcl14	tmsb4x	cck	mt-nd4	snhg11	vip	mt-cytb	g0s2	sepw1	
