bsg	apoe	tmsb4x	cst3	fabp7	hnrnpa2b1	tcf4	igfbp7	prpf38b	tsc22d1	
top2a	hnrnpa2b1	hsp90ab1	smc4	ccnd2	ncl	marcks	ezh2	serbp1	nasp	
bsg	tmsb4x	sparc	actb	igfbp7	mt-cytb	tsc22d1	calm1	mt-nd2	sepp1	
actb	mt-nd1	mt-cytb	tmsb4x	rgs5	marcks	cst3	cxcl14	reln	hsp90b1	
mt-cytb	apoe	cst3	ptn	hnrnpa2b1	ccnd2	dcn	otub1	ezh2	h2afv	
tubb5	tuba1a	nnat	wrap73	sox4	tubb3	sox11	hsp90ab1	tubb2b	rps5	
tuba1a	tmsb4x	epha5	tubb2b	nnat	sox11	tubb3	tubb5	rtn1	sox4	
hsp90ab1	dek	hnrnpa2b1	ezh2	rbm25	ogdhl	hnrnpd	pabpc1	ncl	meis2	
tuba1a	tmsb4x	tubb5	nnat	tubb2b	tmsb10	tubb3	h3f3b	tsen34	marcksl1	
dbi	fabp7	hsp90ab1	serbp1	ncl	dek	top2a	nasp	vim	marcks	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	neto2	cxcl14	atp2b1	ly6h	pcsk1n	
mt-nd1	mt-cytb	mpzl3	snhg11	mt-nd4	atp2b1	arpp21	pcp4	npy	atp1b1	
tmsb4x	cst3	apoe	actb	mt-nd1	c1qa	hexb	c1qb	c1qc	ctsd	
nnat	tuba1a	armcx1	tubb2b	rtn1	tmsb10	mt-nd1	tubb3	stmn2	tmsb4x	
tuba1a	mkrn2	nnat	tubb5	tubb2b	tubb3	tmsb4x	tmsb10	sox4	h3f3b	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	ly6h	stmn3	pcsk1n	atp1b1	
ccnd2	nasp	hsp90ab1	dek	ncl	hnrnpa2b1	ezh2	h2afv	serbp1	pidd1	
fabp7	dbi	ptn	ncl	hsp90ab1	vim	nog	dek	serbp1	hsp90b1	
akap8l	hnrnpa2b1	hsp90ab1	marcks	sox11	serbp1	ncl	hnrnpab	fnbp1l	rbm25	
mt-nd1	actb	snhg11	stmn3	rtn1	arpp21	sst	mcidas	atp2b1	mt-cytb	
bre	tubb5	tuba1a	rps5	nnat	tubb2b	tubb3	h3f3b	fabp7	rpl8	
tuba1a	nnat	tubb5	tubb3	tubb2b	sox11	sox4	strip1	h3f3b	map1b	
mt-nd1	mt-cytb	mt-nd4	dbi	tac1	snhg11	ly6h	mt1	atp1b1	mt-nd2	
mt-nd1	ezh1	rtn1	mt-cytb	sepw1	snhg11	tmsb4x	mt-nd4	stmn2	tmsb10	
mt-nd1	mt-nd4	mt-cytb	snhg11	rtn1	arpp21	npy	nnat	pcp4	atp2b1	
tmsb4x	tuba1a	nnat	pde4dip	sox11	rtn1	tubb2b	tmsb10	tcf4	marcksl1	
mt-nd1	mt-cytb	snhg11	mt-nd4	rtn1	arpp21	atp2b1	pcp4	tdrd7	sepw1	
hsp90ab1	bsg	ncl	serbp1	pabpc1	nasp	lef1	sparc	fabp7	ccnd2	
mt-nd1	rtn1	snhg11	sepw1	mt-nd4	mt-cytb	cxcl14	tmsb4x	ly6h	slc25a23	
tubb5	tuba1a	mad1l1	nnat	tubb2b	sox4	tubb3	sox11	h3f3b	marcksl1	
fabp7	mt-nd1	dbi	ptn	hsp90ab1	wwc1	ncl	arpp21	snhg11	serbp1	
ccnd2	gadd45g	rbm25	hsp90ab1	rnd3	abracl	ezh2	nap1l4	akap9	dynll1	
tubb5	ccnd2	idh2	sox4	sox11	h2afv	rps5	hsp90ab1	h3f3b	cdk4	
ccz1	tuba1a	tubb5	sox4	sox11	nnat	hsp90ab1	hnrnpa2b1	ccnd2	tubb3	
npy	mt-nd1	ccnd2	tsc22d1	nusap1	tax1bp1	rplp1	sf3b2	srrt	cenpf	
mt-nd1	mt-cytb	mt-nd4	vip	snhg11	hba-a1	rtn1	stmn3	hbb-bs	atp1b1	
fabp7	dbi	marcks	ptn	stom	smc4	apoe	arl6ip1	plp1	h2afv	
tuba1a	tmsb4x	rtn1	mt-nd1	nnat	tubb2b	tmsb10	tubb3	stmn2	sepw1	
mt-nd1	actb	arpp21	snhg11	mt-cytb	mt-nd4	pcp4	atp2b1	sepw1	rtn1	
mt-nd1	plp1	vip	cxcl14	sirt2	dynll2	cd9	cck	opcml	snhg11	
mt-nd1	rtn1	mt-cytb	pabpc5	mt-nd4	vip	tmsb10	stmn3	pcsk1n	stmn2	
mysm1	hsp90ab1	hnrnpa2b1	marcks	ncl	top2a	ccnd2	serbp1	nasp	mt-nd5	
hsp90ab1	fabp7	dbi	serbp1	ncl	nasp	ptn	fkbp3	dek	ranbp1	
actb	dbi	ncam1	hnrnpa2b1	snhg11	smc4	1500015o10rik	apoe	nars	rps9	
cfap36	hsp90ab1	hnrnpa2b1	fabp7	serbp1	ncl	marcks	top2a	ezh2	anp32a	
rps26	eif5b	hsp90ab1	rpl14	snrpd3	rrp1	ccnd2	top1	runx1t1	tpr	
hsp90ab1	serbp1	hnrnpa2b1	ezh2	mt-nd5	nasp	top1	anp32a	ncl	pabpc1	
top2a	ccnd2	hnrnpa2b1	smc4	arl6ip1	cenpf	h2afv	ube2c	prc1	hsp90ab1	
mt-nd1	snhg11	sepw1	cxcl14	mt-cytb	mt-nd4	tmsb4x	rtn1	sst	npy	
mt-nd1	mt-cytb	rtn1	mt-nd4	tmsb4x	2410015m20rik	snhg11	cxcl14	stmn3	sepw1	
tmsb4x	actb	cst3	mt-nd1	bsg	hexb	ctsd	sparc	apoe	mt-cytb	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	dennd1a	cxcl14	ly6h	atp2b1	pcsk1n	
